Municipios;Sexo;Periodo;Total
46010 Albalat dels Tarongers;Total;2022;1.368
46010 Albalat dels Tarongers;Total;2021;1.324
46010 Albalat dels Tarongers;Total;2020;1.208
46010 Albalat dels Tarongers;Total;2019;1.232
46010 Albalat dels Tarongers;Total;2018;1.202
46010 Albalat dels Tarongers;Total;2017;1.169
46010 Albalat dels Tarongers;Total;2016;1.185
46011 Alberic;Total;2025;11.099
46011 Alberic;Total;2024;10.945
46011 Alberic;Total;2023;10.815
46011 Alberic;Total;2022;10.710
46011 Alberic;Total;2021;10.571
46011 Alberic;Total;2020;10.519
46011 Alberic;Total;2019;10.526
46011 Alberic;Total;2018;10.556
46011 Alberic;Total;2017;10.504
46011 Alberic;Total;2016;10.537
46012 Alborache;Total;2025;1.568
46012 Alborache;Total;2024;1.471
46012 Alborache;Total;2023;1.389
46012 Alborache;Total;2022;1.328
46012 Alborache;Total;2021;1.283
46012 Alborache;Total;2020;1.229
46012 Alborache;Total;2019;1.160
46012 Alborache;Total;2018;1.127
46012 Alborache;Total;2017;1.140
46012 Alborache;Total;2016;1.147
46013 Alboraia/Alboraya;Total;2025;26.273
46013 Alboraia/Alboraya;Total;2024;26.259
46013 Alboraia/Alboraya;Total;2023;25.792
46013 Alboraia/Alboraya;Total;2022;25.149
46013 Alboraia/Alboraya;Total;2021;24.904
46013 Alboraia/Alboraya;Total;2020;24.741
46013 Alboraia/Alboraya;Total;2019;24.454
46013 Alboraia/Alboraya;Total;2018;24.222
46013 Alboraia/Alboraya;Total;2017;24.031
46013 Alboraia/Alboraya;Total;2016;23.837
46014 Albuixech;Total;2025;4.482
46014 Albuixech;Total;2024;4.419
46014 Albuixech;Total;2023;4.343
46014 Albuixech;Total;2022;4.201
46014 Albuixech;Total;2021;4.189
46014 Albuixech;Total;2020;4.151
46014 Albuixech;Total;2019;4.017
46014 Albuixech;Total;2018;3.983
46014 Albuixech;Total;2017;3.911
46014 Albuixech;Total;2016;3.919
46016 Alcàntera de Xúquer;Total;2025;1.468
46016 Alcàntera de Xúquer;Total;2024;1.425
46016 Alcàntera de Xúquer;Total;2023;1.414
46016 Alcàntera de Xúquer;Total;2022;1.427
46016 Alcàntera de Xúquer;Total;2021;1.402
46016 Alcàntera de Xúquer;Total;2020;1.341
46016 Alcàntera de Xúquer;Total;2019;1.291
46016 Alcàntera de Xúquer;Total;2018;1.297
46016 Alcàntera de Xúquer;Total;2017;1.318
46016 Alcàntera de Xúquer;Total;2016;1.319
46015 Alcàsser;Total;2025;10.772
46015 Alcàsser;Total;2024;10.676
46015 Alcàsser;Total;2023;10.575
46015 Alcàsser;Total;2022;10.396
46015 Alcàsser;Total;2021;10.266
46015 Alcàsser;Total;2020;10.196
46015 Alcàsser;Total;2019;10.039
46015 Alcàsser;Total;2018;9.908
46015 Alcàsser;Total;2017;9.813
46015 Alcàsser;Total;2016;9.692
46018 Alcublas;Total;2025;710
46018 Alcublas;Total;2024;683
46018 Alcublas;Total;2023;635
46018 Alcublas;Total;2022;607
46018 Alcublas;Total;2021;610
46018 Alcublas;Total;2020;611
46018 Alcublas;Total;2019;628
46018 Alcublas;Total;2018;654
46018 Alcublas;Total;2017;678
46018 Alcublas;Total;2016;691
46020 Alcúdia de Crespins, l';Total;2025;5.548
46020 Alcúdia de Crespins, l';Total;2024;5.438
46020 Alcúdia de Crespins, l';Total;2023;5.361
46020 Alcúdia de Crespins, l';Total;2022;5.224
46020 Alcúdia de Crespins, l';Total;2021;5.144
46020 Alcúdia de Crespins, l';Total;2020;5.113
46020 Alcúdia de Crespins, l';Total;2019;5.157
46020 Alcúdia de Crespins, l';Total;2018;5.188
46020 Alcúdia de Crespins, l';Total;2017;5.108
46020 Alcúdia de Crespins, l';Total;2016;5.181
46019 Alcúdia, l';Total;2025;12.587
46019 Alcúdia, l';Total;2024;12.402
46019 Alcúdia, l';Total;2023;12.197
46019 Alcúdia, l';Total;2022;12.176
46019 Alcúdia, l';Total;2021;12.193
46019 Alcúdia, l';Total;2020;12.107
46019 Alcúdia, l';Total;2019;12.009
46019 Alcúdia, l';Total;2018;11.938
46019 Alcúdia, l';Total;2017;11.926
46019 Alcúdia, l';Total;2016;11.820
46021 Aldaia;Total;2025;34.630
46021 Aldaia;Total;2024;34.035
46021 Aldaia;Total;2023;33.376
46021 Aldaia;Total;2022;32.656
46021 Aldaia;Total;2021;32.313
46021 Aldaia;Total;2020;32.204
46021 Aldaia;Total;2019;31.864
46021 Aldaia;Total;2018;31.492
46021 Aldaia;Total;2017;31.320
46021 Aldaia;Total;2016;31.246
46022 Alfafar;Total;2025;22.270
46022 Alfafar;Total;2024;22.131
46022 Alfafar;Total;2023;21.879
46022 Alfafar;Total;2022;21.480
46022 Alfafar;Total;2021;21.415
46022 Alfafar;Total;2020;21.395
46022 Alfafar;Total;2019;20.890
46022 Alfafar;Total;2018;20.763
46022 Alfafar;Total;2017;20.776
46022 Alfafar;Total;2016;20.777
46024 Alfara de la Baronia;Total;2025;624
46024 Alfara de la Baronia;Total;2024;614
46024 Alfara de la Baronia;Total;2023;611
46024 Alfara de la Baronia;Total;2022;606
46024 Alfara de la Baronia;Total;2021;590
46024 Alfara de la Baronia;Total;2020;569
46024 Alfara de la Baronia;Total;2019;557
46024 Alfara de la Baronia;Total;2018;539
46024 Alfara de la Baronia;Total;2017;535
46024 Alfara de la Baronia;Total;2016;522
46025 Alfara del Patriarca;Total;2025;3.740
46025 Alfara del Patriarca;Total;2024;3.623
46025 Alfara del Patriarca;Total;2023;3.455
46025 Alfara del Patriarca;Total;2022;3.315
46025 Alfara del Patriarca;Total;2021;3.301
46025 Alfara del Patriarca;Total;2020;3.282
46025 Alfara del Patriarca;Total;2019;3.310
46025 Alfara del Patriarca;Total;2018;3.314
46025 Alfara del Patriarca;Total;2017;3.348
46025 Alfara del Patriarca;Total;2016;3.323
46026 Alfarb;Total;2025;1.763
46026 Alfarb;Total;2024;1.676
46026 Alfarb;Total;2023;1.618
46026 Alfarb;Total;2022;1.596
46026 Alfarb;Total;2021;1.564
46026 Alfarb;Total;2020;1.571
46026 Alfarb;Total;2019;1.544
46026 Alfarb;Total;2018;1.532
46026 Alfarb;Total;2017;1.517
46026 Alfarb;Total;2016;1.510
46027 Alfarrasí;Total;2025;1.173
46027 Alfarrasí;Total;2024;1.175
46027 Alfarrasí;Total;2023;1.183
46027 Alfarrasí;Total;2022;1.217
46027 Alfarrasí;Total;2021;1.206
46027 Alfarrasí;Total;2020;1.219
46027 Alfarrasí;Total;2019;1.225
46027 Alfarrasí;Total;2018;1.262
46027 Alfarrasí;Total;2017;1.256
46027 Alfarrasí;Total;2016;1.274
46023 Alfauir;Total;2025;515
46023 Alfauir;Total;2024;489
46023 Alfauir;Total;2023;477
46023 Alfauir;Total;2022;479
46023 Alfauir;Total;2021;467
46023 Alfauir;Total;2020;449
46023 Alfauir;Total;2019;437
46023 Alfauir;Total;2018;440
46023 Alfauir;Total;2017;448
46023 Alfauir;Total;2016;451
46028 Algar de Palància;Total;2025;565
46028 Algar de Palància;Total;2024;542
46028 Algar de Palància;Total;2023;527
46028 Algar de Palància;Total;2022;498
46028 Algar de Palància;Total;2021;499
46028 Algar de Palància;Total;2020;491
46028 Algar de Palància;Total;2019;481
46028 Algar de Palància;Total;2018;470
46028 Algar de Palància;Total;2017;471
46028 Algar de Palància;Total;2016;484
46029 Algemesí;Total;2025;28.306
46029 Algemesí;Total;2024;27.968
46029 Algemesí;Total;2023;27.438
46029 Algemesí;Total;2022;27.305
46029 Algemesí;Total;2021;27.305
46029 Algemesí;Total;2020;27.430
46029 Algemesí;Total;2019;27.331
46029 Algemesí;Total;2018;27.285
46029 Algemesí;Total;2017;27.511
46029 Algemesí;Total;2016;27.607
46030 Algímia d'Alfara;Total;2025;1.115
46030 Algímia d'Alfara;Total;2024;1.104
46030 Algímia d'Alfara;Total;2023;1.109
46030 Algímia d'Alfara;Total;2022;1.106
46030 Algímia d'Alfara;Total;2021;1.079
46030 Algímia d'Alfara;Total;2020;1.053
46030 Algímia d'Alfara;Total;2019;1.011
46030 Algímia d'Alfara;Total;2018;1.019
46030 Algímia d'Alfara;Total;2017;1.051
46030 Algímia d'Alfara;Total;2016;1.047
46031 Alginet;Total;2025;14.844
46031 Alginet;Total;2024;14.652
46031 Alginet;Total;2023;14.442
46031 Alginet;Total;2022;14.219
46031 Alginet;Total;2021;13.942
46031 Alginet;Total;2020;13.827
46031 Alginet;Total;2019;13.380
46031 Alginet;Total;2018;13.100
46031 Alginet;Total;2017;13.186
46031 Alginet;Total;2016;13.283
46032 Almàssera;Total;2025;7.887
46032 Almàssera;Total;2024;7.672
46032 Almàssera;Total;2023;7.504
46032 Almàssera;Total;2022;7.482
46032 Almàssera;Total;2021;7.433
46032 Almàssera;Total;2020;7.438
46032 Almàssera;Total;2019;7.349
46032 Almàssera;Total;2018;7.295
46032 Almàssera;Total;2017;7.308
46032 Almàssera;Total;2016;7.297
46033 Almiserà;Total;2025;278
46033 Almiserà;Total;2024;285
46033 Almiserà;Total;2023;279
46033 Almiserà;Total;2022;260
46033 Almiserà;Total;2021;264
46033 Almiserà;Total;2020;265
46033 Almiserà;Total;2019;262
46033 Almiserà;Total;2018;258
46033 Almiserà;Total;2017;261
46033 Almiserà;Total;2016;273
46034 Almoines;Total;2025;2.664
46034 Almoines;Total;2024;2.643
46034 Almoines;Total;2023;2.519
46034 Almoines;Total;2022;2.473
46034 Almoines;Total;2021;2.528
46034 Almoines;Total;2020;2.477
46034 Almoines;Total;2019;2.414
46034 Almoines;Total;2018;2.379
46034 Almoines;Total;2017;2.343
46034 Almoines;Total;2016;2.322
46035 Almussafes;Total;2025;9.070
46035 Almussafes;Total;2024;9.057
46035 Almussafes;Total;2023;8.996
46035 Almussafes;Total;2022;8.929
46035 Almussafes;Total;2021;8.984
46035 Almussafes;Total;2020;8.979
46035 Almussafes;Total;2019;8.967
46035 Almussafes;Total;2018;8.932
46035 Almussafes;Total;2017;8.914
46035 Almussafes;Total;2016;8.869
46036 Alpuente;Total;2025;688
46036 Alpuente;Total;2024;700
46036 Alpuente;Total;2023;667
46036 Alpuente;Total;2022;670
46036 Alpuente;Total;2021;659
46036 Alpuente;Total;2020;635
46036 Alpuente;Total;2019;633
46036 Alpuente;Total;2018;637
46036 Alpuente;Total;2017;644
46036 Alpuente;Total;2016;641
46037 Alqueria de la Comtessa, l';Total;2025;1.547
46037 Alqueria de la Comtessa, l';Total;2024;1.544
46037 Alqueria de la Comtessa, l';Total;2023;1.523
46037 Alqueria de la Comtessa, l';Total;2022;1.478
46037 Alqueria de la Comtessa, l';Total;2021;1.481
46037 Alqueria de la Comtessa, l';Total;2020;1.496
46037 Alqueria de la Comtessa, l';Total;2019;1.476
46037 Alqueria de la Comtessa, l';Total;2018;1.418
46037 Alqueria de la Comtessa, l';Total;2017;1.443
46037 Alqueria de la Comtessa, l';Total;2016;1.451
46017 Alzira;Total;2025;48.236
46017 Alzira;Total;2024;47.335
46017 Alzira;Total;2023;46.421
46017 Alzira;Total;2022;45.451
46017 Alzira;Total;2021;44.865
46017 Alzira;Total;2020;44.938
46017 Alzira;Total;2019;44.352
46017 Alzira;Total;2018;44.393
46017 Alzira;Total;2017;44.255
46017 Alzira;Total;2016;44.488
46038 Andilla;Total;2025;338
46038 Andilla;Total;2024;324
46038 Andilla;Total;2023;311
46038 Andilla;Total;2022;316
46038 Andilla;Total;2021;315
46038 Andilla;Total;2020;308
46038 Andilla;Total;2019;319
46038 Andilla;Total;2018;303
46038 Andilla;Total;2017;322
46038 Andilla;Total;2016;349
46039 Anna;Total;2025;2.600
46039 Anna;Total;2024;2.595
46039 Anna;Total;2023;2.593
46039 Anna;Total;2022;2.583
46039 Anna;Total;2021;2.627
46039 Anna;Total;2020;2.615
46039 Anna;Total;2019;2.628
46039 Anna;Total;2018;2.638
46039 Anna;Total;2017;2.639
46039 Anna;Total;2016;2.678
46040 Antella;Total;2025;1.130
46040 Antella;Total;2024;1.114
46040 Antella;Total;2023;1.114
46040 Antella;Total;2022;1.130
46040 Antella;Total;2021;1.127
46040 Antella;Total;2020;1.157
46040 Antella;Total;2019;1.175
46040 Antella;Total;2018;1.209
46040 Antella;Total;2017;1.233
46040 Antella;Total;2016;1.271
46041 Aras de los Olmos;Total;2025;401
46041 Aras de los Olmos;Total;2024;392
46041 Aras de los Olmos;Total;2023;381
46041 Aras de los Olmos;Total;2022;380
46041 Aras de los Olmos;Total;2021;374
46041 Aras de los Olmos;Total;2020;359
46041 Aras de los Olmos;Total;2019;381
46041 Aras de los Olmos;Total;2018;374
46041 Aras de los Olmos;Total;2017;375
46041 Aras de los Olmos;Total;2016;381
46003 Atzeneta d'Albaida;Total;2025;1.193
46003 Atzeneta d'Albaida;Total;2024;1.169
46003 Atzeneta d'Albaida;Total;2023;1.161
46003 Atzeneta d'Albaida;Total;2022;1.146
46003 Atzeneta d'Albaida;Total;2021;1.139
46003 Atzeneta d'Albaida;Total;2020;1.162
46003 Atzeneta d'Albaida;Total;2019;1.165
46003 Atzeneta d'Albaida;Total;2018;1.162
46003 Atzeneta d'Albaida;Total;2017;1.155
46003 Atzeneta d'Albaida;Total;2016;1.153
46044 Ayora;Total;2025;5.282
46044 Ayora;Total;2024;5.284
46044 Ayora;Total;2023;5.223
46044 Ayora;Total;2022;5.187
46044 Ayora;Total;2021;5.215
46044 Ayora;Total;2020;5.283
46044 Ayora;Total;2019;5.312
46044 Ayora;Total;2018;5.276
46044 Ayora;Total;2017;5.311
46044 Ayora;Total;2016;5.320
46046 Barx;Total;2025;1.501
46046 Barx;Total;2024;1.498
46046 Barx;Total;2023;1.476
46046 Barx;Total;2022;1.400
46046 Barx;Total;2021;1.354
46046 Barx;Total;2020;1.303
46046 Barx;Total;2019;1.277
46046 Barx;Total;2018;1.229
46046 Barx;Total;2017;1.227
46046 Barx;Total;2016;1.280
46045 Barxeta;Total;2025;1.578
46045 Barxeta;Total;2024;1.586
46045 Barxeta;Total;2023;1.595
46045 Barxeta;Total;2022;1.576
46045 Barxeta;Total;2021;1.604
46045 Barxeta;Total;2020;1.586
46045 Barxeta;Total;2019;1.601
46045 Barxeta;Total;2018;1.604
46045 Barxeta;Total;2017;1.577
46045 Barxeta;Total;2016;1.607
46047 Bèlgida;Total;2025;651
46047 Bèlgida;Total;2024;640
46047 Bèlgida;Total;2023;632
46047 Bèlgida;Total;2022;639
46047 Bèlgida;Total;2021;654
46047 Bèlgida;Total;2020;679
46047 Bèlgida;Total;2019;673
46047 Bèlgida;Total;2018;672
46047 Bèlgida;Total;2017;690
46047 Bèlgida;Total;2016;689
46048 Bellreguard;Total;2025;5.032
46048 Bellreguard;Total;2024;4.943
46048 Bellreguard;Total;2023;4.811
46048 Bellreguard;Total;2022;4.713
46048 Bellreguard;Total;2021;4.632
46048 Bellreguard;Total;2020;4.618
46048 Bellreguard;Total;2019;4.608
46048 Bellreguard;Total;2018;4.549
46048 Bellreguard;Total;2017;4.550
46048 Bellreguard;Total;2016;4.582
46049 Bellús;Total;2025;317
46049 Bellús;Total;2024;302
46049 Bellús;Total;2023;306
46049 Bellús;Total;2022;301
46049 Bellús;Total;2021;311
46049 Bellús;Total;2020;299
46049 Bellús;Total;2019;304
46049 Bellús;Total;2018;314
46049 Bellús;Total;2017;315
46049 Bellús;Total;2016;319
46050 Benagéber;Total;2025;176
46050 Benagéber;Total;2024;171
46050 Benagéber;Total;2023;168
46050 Benagéber;Total;2022;170
46050 Benagéber;Total;2021;184
46050 Benagéber;Total;2020;180
46050 Benagéber;Total;2019;192
46050 Benagéber;Total;2018;190
46050 Benagéber;Total;2017;192
46050 Benagéber;Total;2016;207
46051 Benaguasil;Total;2025;12.668
46051 Benaguasil;Total;2024;12.336
46051 Benaguasil;Total;2023;11.877
46051 Benaguasil;Total;2022;11.568
46051 Benaguasil;Total;2021;11.369
46051 Benaguasil;Total;2020;11.256
46051 Benaguasil;Total;2019;10.988
46051 Benaguasil;Total;2018;10.878
46051 Benaguasil;Total;2017;10.960
46051 Benaguasil;Total;2016;10.967
46052 Benavites;Total;2025;652
46052 Benavites;Total;2024;661
46052 Benavites;Total;2023;674
46052 Benavites;Total;2022;667
46052 Benavites;Total;2021;653
46052 Benavites;Total;2020;638
46052 Benavites;Total;2019;619
46052 Benavites;Total;2018;594
46052 Benavites;Total;2017;613
46052 Benavites;Total;2016;613
46053 Beneixida;Total;2025;659
46053 Beneixida;Total;2024;649
46053 Beneixida;Total;2023;655
46053 Beneixida;Total;2022;652
46053 Beneixida;Total;2021;639
46053 Beneixida;Total;2020;627
46053 Beneixida;Total;2019;651
46053 Beneixida;Total;2018;648
46053 Beneixida;Total;2017;648
46053 Beneixida;Total;2016;674
46054 Benetússer;Total;2025;16.734
46054 Benetússer;Total;2024;16.322
46054 Benetússer;Total;2023;15.879
46054 Benetússer;Total;2022;15.493
46054 Benetússer;Total;2021;15.430
46054 Benetússer;Total;2020;15.000
46054 Benetússer;Total;2019;14.799
46054 Benetússer;Total;2018;14.668
46054 Benetússer;Total;2017;14.495
46054 Benetússer;Total;2016;14.505
46055 Beniarjó;Total;2025;1.964
46055 Beniarjó;Total;2024;1.907
46055 Beniarjó;Total;2023;1.872
46055 Beniarjó;Total;2022;1.791
46055 Beniarjó;Total;2021;1.780
46055 Beniarjó;Total;2020;1.767
46055 Beniarjó;Total;2019;1.765
46055 Beniarjó;Total;2018;1.746
46055 Beniarjó;Total;2017;1.759
46055 Beniarjó;Total;2016;1.756
46056 Beniatjar;Total;2025;209
46056 Beniatjar;Total;2024;209
46056 Beniatjar;Total;2023;217
46056 Beniatjar;Total;2022;207
46056 Beniatjar;Total;2021;207
46056 Beniatjar;Total;2020;219
46056 Beniatjar;Total;2019;223
46056 Beniatjar;Total;2018;224
46056 Beniatjar;Total;2017;219
46056 Beniatjar;Total;2016;226
46057 Benicolet;Total;2025;610
46057 Benicolet;Total;2024;605
46057 Benicolet;Total;2023;599
46057 Benicolet;Total;2022;597
46057 Benicolet;Total;2021;587
46057 Benicolet;Total;2020;574
46057 Benicolet;Total;2019;569
46057 Benicolet;Total;2018;582
46057 Benicolet;Total;2017;585
46057 Benicolet;Total;2016;610
46904 Benicull de Xúquer;Total;2025;1.179
46904 Benicull de Xúquer;Total;2024;1.144
46904 Benicull de Xúquer;Total;2023;1.134
46904 Benicull de Xúquer;Total;2022;1.102
46904 Benicull de Xúquer;Total;2021;1.095
46904 Benicull de Xúquer;Total;2020;1.048
46904 Benicull de Xúquer;Total;2019;1.012
46904 Benicull de Xúquer;Total;2018;974
46904 Benicull de Xúquer;Total;2017;970
46904 Benicull de Xúquer;Total;2016;972
46060 Benifaió;Total;2025;12.262
46060 Benifaió;Total;2024;12.130
46060 Benifaió;Total;2023;11.984
46060 Benifaió;Total;2022;11.877
46060 Benifaió;Total;2021;11.967
46060 Benifaió;Total;2020;11.989
46060 Benifaió;Total;2019;11.962
46060 Benifaió;Total;2018;11.930
46060 Benifaió;Total;2017;11.956
46060 Benifaió;Total;2016;11.903
46059 Benifairó de la Valldigna;Total;2025;1.588
46059 Benifairó de la Valldigna;Total;2024;1.560
46059 Benifairó de la Valldigna;Total;2023;1.554
46059 Benifairó de la Valldigna;Total;2022;1.552
46059 Benifairó de la Valldigna;Total;2021;1.542
46059 Benifairó de la Valldigna;Total;2020;1.558
46059 Benifairó de la Valldigna;Total;2019;1.571
46059 Benifairó de la Valldigna;Total;2018;1.580
46059 Benifairó de la Valldigna;Total;2017;1.596
46059 Benifairó de la Valldigna;Total;2016;1.600
46058 Benifairó de les Valls;Total;2025;2.359
46058 Benifairó de les Valls;Total;2024;2.318
46058 Benifairó de les Valls;Total;2023;2.320
46058 Benifairó de les Valls;Total;2022;2.314
46058 Benifairó de les Valls;Total;2021;2.268
46058 Benifairó de les Valls;Total;2020;2.213
46058 Benifairó de les Valls;Total;2019;2.186
46058 Benifairó de les Valls;Total;2018;2.168
46058 Benifairó de les Valls;Total;2017;2.205
46058 Benifairó de les Valls;Total;2016;2.218
46061 Beniflá;Total;2025;505
46061 Beniflá;Total;2024;502
46061 Beniflá;Total;2023;484
46061 Beniflá;Total;2022;475
46061 Beniflá;Total;2021;463
46061 Beniflá;Total;2020;460
46061 Beniflá;Total;2019;457
46061 Beniflá;Total;2018;455
46061 Beniflá;Total;2017;458
46061 Beniflá;Total;2016;453
46062 Benigànim;Total;2025;5.759
46062 Benigànim;Total;2024;5.695
46062 Benigànim;Total;2023;5.716
46062 Benigànim;Total;2022;5.718
46062 Benigànim;Total;2021;5.742
46062 Benigànim;Total;2020;5.779
46062 Benigànim;Total;2019;5.841
46062 Benigànim;Total;2018;5.899
46062 Benigànim;Total;2017;5.850
46062 Benigànim;Total;2016;5.912
46063 Benimodo;Total;2025;2.332
46063 Benimodo;Total;2024;2.316
46063 Benimodo;Total;2023;2.279
46063 Benimodo;Total;2022;2.233
46063 Benimodo;Total;2021;2.253
46063 Benimodo;Total;2020;2.272
46063 Benimodo;Total;2019;2.268
46063 Benimodo;Total;2018;2.241
46063 Benimodo;Total;2017;2.230
46063 Benimodo;Total;2016;2.237
46064 Benimuslem;Total;2025;674
46064 Benimuslem;Total;2024;665
46064 Benimuslem;Total;2023;665
46064 Benimuslem;Total;2022;662
46064 Benimuslem;Total;2021;653
46064 Benimuslem;Total;2020;667
46064 Benimuslem;Total;2019;653
46064 Benimuslem;Total;2018;660
46064 Benimuslem;Total;2017;656
46064 Benimuslem;Total;2016;644
46065 Beniparrell;Total;2025;2.108
46065 Beniparrell;Total;2024;2.091
46065 Beniparrell;Total;2023;2.074
46065 Beniparrell;Total;2022;2.020
46065 Beniparrell;Total;2021;2.024
46065 Beniparrell;Total;2020;2.015
46065 Beniparrell;Total;2019;1.952
46065 Beniparrell;Total;2018;1.931
46065 Beniparrell;Total;2017;1.964
46065 Beniparrell;Total;2016;1.948
46066 Benirredrà;Total;2025;1.576
46066 Benirredrà;Total;2024;1.561
46066 Benirredrà;Total;2023;1.571
46066 Benirredrà;Total;2022;1.548
46066 Benirredrà;Total;2021;1.547
46066 Benirredrà;Total;2020;1.555
46066 Benirredrà;Total;2019;1.592
46066 Benirredrà;Total;2018;1.576
46066 Benirredrà;Total;2017;1.570
46066 Benirredrà;Total;2016;1.596
46067 Benissanó;Total;2025;2.449
46067 Benissanó;Total;2024;2.427
46067 Benissanó;Total;2023;2.385
46067 Benissanó;Total;2022;2.345
46067 Benissanó;Total;2021;2.334
46067 Benissanó;Total;2020;2.291
46067 Benissanó;Total;2019;2.260
46067 Benissanó;Total;2018;2.224
46067 Benissanó;Total;2017;2.238
46067 Benissanó;Total;2016;2.226
46068 Benissoda;Total;2025;494
46068 Benissoda;Total;2024;485
46068 Benissoda;Total;2023;460
46068 Benissoda;Total;2022;456
46068 Benissoda;Total;2021;441
46068 Benissoda;Total;2020;432
46068 Benissoda;Total;2019;430
46068 Benissoda;Total;2018;418
46068 Benissoda;Total;2017;425
46068 Benissoda;Total;2016;429
46069 Benissuera;Total;2025;196
46069 Benissuera;Total;2024;185
46069 Benissuera;Total;2023;185
46069 Benissuera;Total;2022;188
46069 Benissuera;Total;2021;183
46069 Benissuera;Total;2020;185
46069 Benissuera;Total;2019;194
46069 Benissuera;Total;2018;180
46069 Benissuera;Total;2017;194
46069 Benissuera;Total;2016;187
46070 Bétera;Total;2025;28.560
46070 Bétera;Total;2024;27.584
46070 Bétera;Total;2023;26.759
46070 Bétera;Total;2022;26.289
46070 Bétera;Total;2021;25.423
46070 Bétera;Total;2020;24.604
46070 Bétera;Total;2019;24.272
