Municipalities;Sex;Period;Total
12082 Nules;Total;2021;13,256
12082 Nules;Total;2020;13,236
12082 Nules;Total;2019;13,103
12082 Nules;Total;2018;13,170
12082 Nules;Total;2017;13,266
12082 Nules;Total;2016;13,305
12083 Olocau del Rey;Total;2025;135
12083 Olocau del Rey;Total;2024;135
12083 Olocau del Rey;Total;2023;126
12083 Olocau del Rey;Total;2022;119
12083 Olocau del Rey;Total;2021;117
12083 Olocau del Rey;Total;2020;120
12083 Olocau del Rey;Total;2019;119
12083 Olocau del Rey;Total;2018;117
12083 Olocau del Rey;Total;2017;118
12083 Olocau del Rey;Total;2016;118
12084 Onda;Total;2025;26,190
12084 Onda;Total;2024;25,817
12084 Onda;Total;2023;25,547
12084 Onda;Total;2022;25,099
12084 Onda;Total;2021;24,939
12084 Onda;Total;2020;24,980
12084 Onda;Total;2019;24,859
12084 Onda;Total;2018;24,850
12084 Onda;Total;2017;24,807
12084 Onda;Total;2016;24,856
12085 Orpesa/Oropesa del Mar;Total;2025;12,640
12085 Orpesa/Oropesa del Mar;Total;2024;11,785
12085 Orpesa/Oropesa del Mar;Total;2023;10,958
12085 Orpesa/Oropesa del Mar;Total;2022;10,184
12085 Orpesa/Oropesa del Mar;Total;2021;9,755
12085 Orpesa/Oropesa del Mar;Total;2020;9,339
12085 Orpesa/Oropesa del Mar;Total;2019;9,076
12085 Orpesa/Oropesa del Mar;Total;2018;8,830
12085 Orpesa/Oropesa del Mar;Total;2017;8,983
12085 Orpesa/Oropesa del Mar;Total;2016;9,245
12087 Palanques;Total;2025;34
12087 Palanques;Total;2024;34
12087 Palanques;Total;2023;36
12087 Palanques;Total;2022;38
12087 Palanques;Total;2021;36
12087 Palanques;Total;2020;34
12087 Palanques;Total;2019;30
12087 Palanques;Total;2018;31
12087 Palanques;Total;2017;34
12087 Palanques;Total;2016;35
12088 Pavías;Total;2025;72
12088 Pavías;Total;2024;73
12088 Pavías;Total;2023;74
12088 Pavías;Total;2022;74
12088 Pavías;Total;2021;72
12088 Pavías;Total;2020;68
12088 Pavías;Total;2019;61
12088 Pavías;Total;2018;62
12088 Pavías;Total;2017;63
12088 Pavías;Total;2016;69
12089 Peníscola/Peñíscola;Total;2025;8,774
12089 Peníscola/Peñíscola;Total;2024;8,496
12089 Peníscola/Peñíscola;Total;2023;8,449
12089 Peníscola/Peñíscola;Total;2022;8,210
12089 Peníscola/Peñíscola;Total;2021;7,882
12089 Peníscola/Peñíscola;Total;2020;7,683
12089 Peníscola/Peñíscola;Total;2019;7,612
12089 Peníscola/Peñíscola;Total;2018;7,447
12089 Peníscola/Peñíscola;Total;2017;7,413
12089 Peníscola/Peñíscola;Total;2016;7,421
12090 Pina de Montalgrao;Total;2025;121
12090 Pina de Montalgrao;Total;2024;118
12090 Pina de Montalgrao;Total;2023;119
12090 Pina de Montalgrao;Total;2022;113
12090 Pina de Montalgrao;Total;2021;114
12090 Pina de Montalgrao;Total;2020;110
12090 Pina de Montalgrao;Total;2019;111
12090 Pina de Montalgrao;Total;2018;114
12090 Pina de Montalgrao;Total;2017;121
12090 Pina de Montalgrao;Total;2016;127
12093 Pobla de Benifassà, la;Total;2025;229
12093 Pobla de Benifassà, la;Total;2024;240
12093 Pobla de Benifassà, la;Total;2023;235
12093 Pobla de Benifassà, la;Total;2022;225
12093 Pobla de Benifassà, la;Total;2021;213
12093 Pobla de Benifassà, la;Total;2020;199
12093 Pobla de Benifassà, la;Total;2019;202
12093 Pobla de Benifassà, la;Total;2018;197
12093 Pobla de Benifassà, la;Total;2017;203
12093 Pobla de Benifassà, la;Total;2016;209
12094 Pobla Tornesa, la;Total;2025;1,322
12094 Pobla Tornesa, la;Total;2024;1,325
12094 Pobla Tornesa, la;Total;2023;1,309
12094 Pobla Tornesa, la;Total;2022;1,304
12094 Pobla Tornesa, la;Total;2021;1,239
12094 Pobla Tornesa, la;Total;2020;1,212
12094 Pobla Tornesa, la;Total;2019;1,211
12094 Pobla Tornesa, la;Total;2018;1,208
12094 Pobla Tornesa, la;Total;2017;1,227
12094 Pobla Tornesa, la;Total;2016;1,200
12091 Portell de Morella;Total;2025;155
12091 Portell de Morella;Total;2024;155
12091 Portell de Morella;Total;2023;166
12091 Portell de Morella;Total;2022;178
12091 Portell de Morella;Total;2021;181
12091 Portell de Morella;Total;2020;188
12091 Portell de Morella;Total;2019;197
12091 Portell de Morella;Total;2018;197
12091 Portell de Morella;Total;2017;200
12091 Portell de Morella;Total;2016;200
12092 Puebla de Arenoso;Total;2025;169
12092 Puebla de Arenoso;Total;2024;174
12092 Puebla de Arenoso;Total;2023;169
12092 Puebla de Arenoso;Total;2022;162
12092 Puebla de Arenoso;Total;2021;158
12092 Puebla de Arenoso;Total;2020;152
12092 Puebla de Arenoso;Total;2019;158
12092 Puebla de Arenoso;Total;2018;144
12092 Puebla de Arenoso;Total;2017;133
12092 Puebla de Arenoso;Total;2016;143
12095 Ribesalbes;Total;2025;1,191
12095 Ribesalbes;Total;2024;1,163
12095 Ribesalbes;Total;2023;1,135
12095 Ribesalbes;Total;2022;1,159
12095 Ribesalbes;Total;2021;1,156
12095 Ribesalbes;Total;2020;1,163
12095 Ribesalbes;Total;2019;1,174
12095 Ribesalbes;Total;2018;1,180
12095 Ribesalbes;Total;2017;1,210
12095 Ribesalbes;Total;2016;1,223
12096 Rossell;Total;2025;910
12096 Rossell;Total;2024;892
12096 Rossell;Total;2023;891
12096 Rossell;Total;2022;886
12096 Rossell;Total;2021;904
12096 Rossell;Total;2020;912
12096 Rossell;Total;2019;937
12096 Rossell;Total;2018;952
12096 Rossell;Total;2017;987
12096 Rossell;Total;2016;1,002
12097 Sacañet;Total;2025;67
12097 Sacañet;Total;2024;77
12097 Sacañet;Total;2023;86
12097 Sacañet;Total;2022;52
12097 Sacañet;Total;2021;57
12097 Sacañet;Total;2020;62
12097 Sacañet;Total;2019;67
12097 Sacañet;Total;2018;59
12097 Sacañet;Total;2017;62
12097 Sacañet;Total;2016;67
12098 Salzadella, la;Total;2025;671
12098 Salzadella, la;Total;2024;678
12098 Salzadella, la;Total;2023;660
12098 Salzadella, la;Total;2022;671
12098 Salzadella, la;Total;2021;683
12098 Salzadella, la;Total;2020;700
12098 Salzadella, la;Total;2019;704
12098 Salzadella, la;Total;2018;729
12098 Salzadella, la;Total;2017;743
12098 Salzadella, la;Total;2016;751
12101 San Rafael del Río;Total;2025;532
12101 San Rafael del Río;Total;2024;530
12101 San Rafael del Río;Total;2023;494
12101 San Rafael del Río;Total;2022;484
12101 San Rafael del Río;Total;2021;468
12101 San Rafael del Río;Total;2020;466
12101 San Rafael del Río;Total;2019;469
12101 San Rafael del Río;Total;2018;462
12101 San Rafael del Río;Total;2017;464
12101 San Rafael del Río;Total;2016;483
12902 Sant Joan de Moró;Total;2025;3,695
12902 Sant Joan de Moró;Total;2024;3,644
12902 Sant Joan de Moró;Total;2023;3,516
12902 Sant Joan de Moró;Total;2022;3,387
12902 Sant Joan de Moró;Total;2021;3,307
12902 Sant Joan de Moró;Total;2020;3,232
12902 Sant Joan de Moró;Total;2019;3,159
12902 Sant Joan de Moró;Total;2018;3,099
12902 Sant Joan de Moró;Total;2017;3,084
12902 Sant Joan de Moró;Total;2016;3,043
12099 Sant Jordi/San Jorge;Total;2025;1,554
12099 Sant Jordi/San Jorge;Total;2024;1,381
12099 Sant Jordi/San Jorge;Total;2023;1,249
12099 Sant Jordi/San Jorge;Total;2022;1,171
12099 Sant Jordi/San Jorge;Total;2021;1,063
12099 Sant Jordi/San Jorge;Total;2020;990
12099 Sant Jordi/San Jorge;Total;2019;972
12099 Sant Jordi/San Jorge;Total;2018;935
12099 Sant Jordi/San Jorge;Total;2017;937
12099 Sant Jordi/San Jorge;Total;2016;970
12100 Sant Mateu;Total;2025;2,021
12100 Sant Mateu;Total;2024;2,004
12100 Sant Mateu;Total;2023;1,987
12100 Sant Mateu;Total;2022;1,954
12100 Sant Mateu;Total;2021;1,968
12100 Sant Mateu;Total;2020;1,952
12100 Sant Mateu;Total;2019;1,963
12100 Sant Mateu;Total;2018;1,974
12100 Sant Mateu;Total;2017;1,958
12100 Sant Mateu;Total;2016;1,979
12102 Santa Magdalena de Pulpis;Total;2025;771
12102 Santa Magdalena de Pulpis;Total;2024;768
12102 Santa Magdalena de Pulpis;Total;2023;784
12102 Santa Magdalena de Pulpis;Total;2022;776
12102 Santa Magdalena de Pulpis;Total;2021;755
12102 Santa Magdalena de Pulpis;Total;2020;754
12102 Santa Magdalena de Pulpis;Total;2019;768
12102 Santa Magdalena de Pulpis;Total;2018;761
12102 Santa Magdalena de Pulpis;Total;2017;765
12102 Santa Magdalena de Pulpis;Total;2016;791
12104 Segorbe;Total;2025;9,805
12104 Segorbe;Total;2024;9,640
12104 Segorbe;Total;2023;9,425
12104 Segorbe;Total;2022;9,146
12104 Segorbe;Total;2021;9,139
12104 Segorbe;Total;2020;9,097
12104 Segorbe;Total;2019;8,978
12104 Segorbe;Total;2018;8,878
12104 Segorbe;Total;2017;8,969
12104 Segorbe;Total;2016;9,005
12103 Serratella, la;Total;2025;113
12103 Serratella, la;Total;2024;113
12103 Serratella, la;Total;2023;110
12103 Serratella, la;Total;2022;103
12103 Serratella, la;Total;2021;92
12103 Serratella, la;Total;2020;95
12103 Serratella, la;Total;2019;101
12103 Serratella, la;Total;2018;101
12103 Serratella, la;Total;2017;101
12103 Serratella, la;Total;2016;99
12105 Sierra Engarcerán;Total;2025;1,039
12105 Sierra Engarcerán;Total;2024;1,043
12105 Sierra Engarcerán;Total;2023;1,045
12105 Sierra Engarcerán;Total;2022;997
12105 Sierra Engarcerán;Total;2021;992
12105 Sierra Engarcerán;Total;2020;988
12105 Sierra Engarcerán;Total;2019;976
12105 Sierra Engarcerán;Total;2018;1,023
12105 Sierra Engarcerán;Total;2017;1,012
12105 Sierra Engarcerán;Total;2016;1,019
12106 Soneja;Total;2025;1,521
12106 Soneja;Total;2024;1,513
12106 Soneja;Total;2023;1,508
12106 Soneja;Total;2022;1,520
12106 Soneja;Total;2021;1,479
12106 Soneja;Total;2020;1,456
12106 Soneja;Total;2019;1,447
12106 Soneja;Total;2018;1,439
12106 Soneja;Total;2017;1,468
12106 Soneja;Total;2016;1,463
12107 Sot de Ferrer;Total;2025;492
12107 Sot de Ferrer;Total;2024;498
12107 Sot de Ferrer;Total;2023;474
12107 Sot de Ferrer;Total;2022;447
12107 Sot de Ferrer;Total;2021;428
12107 Sot de Ferrer;Total;2020;409
12107 Sot de Ferrer;Total;2019;415
12107 Sot de Ferrer;Total;2018;428
12107 Sot de Ferrer;Total;2017;429
12107 Sot de Ferrer;Total;2016;418
12108 Suera/Sueras;Total;2025;593
12108 Suera/Sueras;Total;2024;573
12108 Suera/Sueras;Total;2023;572
12108 Suera/Sueras;Total;2022;565
12108 Suera/Sueras;Total;2021;554
12108 Suera/Sueras;Total;2020;524
12108 Suera/Sueras;Total;2019;525
12108 Suera/Sueras;Total;2018;520
12108 Suera/Sueras;Total;2017;522
12108 Suera/Sueras;Total;2016;551
12109 Tales;Total;2025;827
12109 Tales;Total;2024;834
12109 Tales;Total;2023;852
12109 Tales;Total;2022;853
12109 Tales;Total;2021;843
12109 Tales;Total;2020;801
12109 Tales;Total;2019;825
12109 Tales;Total;2018;814
12109 Tales;Total;2017;808
12109 Tales;Total;2016;812
12110 Teresa;Total;2025;254
12110 Teresa;Total;2024;231
12110 Teresa;Total;2023;250
12110 Teresa;Total;2022;253
12110 Teresa;Total;2021;245
12110 Teresa;Total;2020;247
12110 Teresa;Total;2019;242
12110 Teresa;Total;2018;249
12110 Teresa;Total;2017;250
12110 Teresa;Total;2016;266
12111 Tírig;Total;2025;417
12111 Tírig;Total;2024;432
12111 Tírig;Total;2023;430
12111 Tírig;Total;2022;417
12111 Tírig;Total;2021;419
12111 Tírig;Total;2020;420
12111 Tírig;Total;2019;419
12111 Tírig;Total;2018;435
12111 Tírig;Total;2017;437
12111 Tírig;Total;2016;465
12112 Todolella;Total;2025;136
12112 Todolella;Total;2024;147
12112 Todolella;Total;2023;144
12112 Todolella;Total;2022;156
12112 Todolella;Total;2021;145
12112 Todolella;Total;2020;141
12112 Todolella;Total;2019;155
12112 Todolella;Total;2018;138
12112 Todolella;Total;2017;136
12112 Todolella;Total;2016;147
12113 Toga;Total;2025;106
12113 Toga;Total;2024;108
12113 Toga;Total;2023;112
12113 Toga;Total;2022;104
12113 Toga;Total;2021;101
12113 Toga;Total;2020;96
12113 Toga;Total;2019;100
12113 Toga;Total;2018;100
12113 Toga;Total;2017;89
12113 Toga;Total;2016;98
12114 Torás;Total;2025;271
12114 Torás;Total;2024;268
12114 Torás;Total;2023;256
12114 Torás;Total;2022;249
12114 Torás;Total;2021;247
12114 Torás;Total;2020;232
12114 Torás;Total;2019;223
12114 Torás;Total;2018;229
12114 Torás;Total;2017;225
12114 Torás;Total;2016;228
12115 Toro, El;Total;2025;256
12115 Toro, El;Total;2024;262
12115 Toro, El;Total;2023;248
12115 Toro, El;Total;2022;238
12115 Toro, El;Total;2021;239
12115 Toro, El;Total;2020;241
12115 Toro, El;Total;2019;256
12115 Toro, El;Total;2018;253
12115 Toro, El;Total;2017;253
12115 Toro, El;Total;2016;252
12116 Torralba del Pinar;Total;2025;57
12116 Torralba del Pinar;Total;2024;59
12116 Torralba del Pinar;Total;2023;69
12116 Torralba del Pinar;Total;2022;60
12116 Torralba del Pinar;Total;2021;63
12116 Torralba del Pinar;Total;2020;61
12116 Torralba del Pinar;Total;2019;69
12116 Torralba del Pinar;Total;2018;54
12116 Torralba del Pinar;Total;2017;57
12116 Torralba del Pinar;Total;2016;66
12119 Torre d'en Besora, la;Total;2025;164
12119 Torre d'en Besora, la;Total;2024;163
12119 Torre d'en Besora, la;Total;2023;164
12119 Torre d'en Besora, la;Total;2022;165
12119 Torre d'en Besora, la;Total;2021;167
12119 Torre d'en Besora, la;Total;2020;167
12119 Torre d'en Besora, la;Total;2019;158
12119 Torre d'en Besora, la;Total;2018;157
12119 Torre d'en Besora, la;Total;2017;158
12119 Torre d'en Besora, la;Total;2016;166
12120 Torre d'en Doménec, la;Total;2025;177
12120 Torre d'en Doménec, la;Total;2024;182
12120 Torre d'en Doménec, la;Total;2023;175
12120 Torre d'en Doménec, la;Total;2022;167
12120 Torre d'en Doménec, la;Total;2021;157
12120 Torre d'en Doménec, la;Total;2020;162
12120 Torre d'en Doménec, la;Total;2019;180
12120 Torre d'en Doménec, la;Total;2018;191
12120 Torre d'en Doménec, la;Total;2017;198
12120 Torre d'en Doménec, la;Total;2016;212
12117 Torreblanca;Total;2025;5,744
12117 Torreblanca;Total;2024;5,674
12117 Torreblanca;Total;2023;5,630
12117 Torreblanca;Total;2022;5,682
12117 Torreblanca;Total;2021;5,606
12117 Torreblanca;Total;2020;5,574
12117 Torreblanca;Total;2019;5,528
12117 Torreblanca;Total;2018;5,461
12117 Torreblanca;Total;2017;5,419
12117 Torreblanca;Total;2016;5,398
12118 Torrechiva;Total;2025;106
12118 Torrechiva;Total;2024;127
12118 Torrechiva;Total;2023;114
12118 Torrechiva;Total;2022;89
12118 Torrechiva;Total;2021;93
12118 Torrechiva;Total;2020;89
12118 Torrechiva;Total;2019;81
12118 Torrechiva;Total;2018;74
12118 Torrechiva;Total;2017;77
12118 Torrechiva;Total;2016;75
12121 Traiguera;Total;2025;1,302
12121 Traiguera;Total;2024;1,300
12121 Traiguera;Total;2023;1,336
12121 Traiguera;Total;2022;1,323
12121 Traiguera;Total;2021;1,358
12121 Traiguera;Total;2020;1,367
12121 Traiguera;Total;2019;1,378
12121 Traiguera;Total;2018;1,375
12121 Traiguera;Total;2017;1,434
12121 Traiguera;Total;2016;1,502
12122 Useres, les/Useras;Total;2025;954
12122 Useres, les/Useras;Total;2024;961
12122 Useres, les/Useras;Total;2023;985
12122 Useres, les/Useras;Total;2022;949
12122 Useres, les/Useras;Total;2021;968
12122 Useres, les/Useras;Total;2020;959
12122 Useres, les/Useras;Total;2019;962
12122 Useres, les/Useras;Total;2018;966
12122 Useres, les/Useras;Total;2017;970
12122 Useres, les/Useras;Total;2016;994
12124 Vall d'Alba;Total;2025;3,218
12124 Vall d'Alba;Total;2024;3,103
12124 Vall d'Alba;Total;2023;3,054
12124 Vall d'Alba;Total;2022;2,959
12124 Vall d'Alba;Total;2021;2,943
12124 Vall d'Alba;Total;2020;2,856
12124 Vall d'Alba;Total;2019;2,807
12124 Vall d'Alba;Total;2018;2,817
12124 Vall d'Alba;Total;2017;2,781
12124 Vall d'Alba;Total;2016;2,809
12125 Vall de Almonacid;Total;2025;284
12125 Vall de Almonacid;Total;2024;281
12125 Vall de Almonacid;Total;2023;286
12125 Vall de Almonacid;Total;2022;287
12125 Vall de Almonacid;Total;2021;286
12125 Vall de Almonacid;Total;2020;263
12125 Vall de Almonacid;Total;2019;269
12125 Vall de Almonacid;Total;2018;281
12125 Vall de Almonacid;Total;2017;272
12125 Vall de Almonacid;Total;2016;261
12126 Vall d'Uixó, la;Total;2025;32,242
12126 Vall d'Uixó, la;Total;2024;31,884
12126 Vall d'Uixó, la;Total;2023;31,611
12126 Vall d'Uixó, la;Total;2022;31,388
12126 Vall d'Uixó, la;Total;2021;31,549
12126 Vall d'Uixó, la;Total;2020;31,681
12126 Vall d'Uixó, la;Total;2019;31,660
12126 Vall d'Uixó, la;Total;2018;31,552
12126 Vall d'Uixó, la;Total;2017;31,733
12126 Vall d'Uixó, la;Total;2016;31,819
12123 Vallat;Total;2025;66
12123 Vallat;Total;2024;71
12123 Vallat;Total;2023;66
12123 Vallat;Total;2022;54
12123 Vallat;Total;2021;57
12123 Vallat;Total;2020;51
12123 Vallat;Total;2019;49
12123 Vallat;Total;2018;49
12123 Vallat;Total;2017;50
12123 Vallat;Total;2016;54
12127 Vallibona;Total;2025;63
12127 Vallibona;Total;2024;64
12127 Vallibona;Total;2023;62
12127 Vallibona;Total;2022;61
12127 Vallibona;Total;2021;67
12127 Vallibona;Total;2020;66
12127 Vallibona;Total;2019;69
12127 Vallibona;Total;2018;75
12127 Vallibona;Total;2017;77
12127 Vallibona;Total;2016;81
12128 Vilafamés;Total;2025;1,962
12128 Vilafamés;Total;2024;1,938
12128 Vilafamés;Total;2023;1,915
12128 Vilafamés;Total;2022;1,864
12128 Vilafamés;Total;2021;1,840
12128 Vilafamés;Total;2020;1,829
12128 Vilafamés;Total;2019;1,842
12128 Vilafamés;Total;2018;1,833
12128 Vilafamés;Total;2017;1,822
12128 Vilafamés;Total;2016;1,851
12129 Vilafranca/Villafranca del Cid;Total;2025;2,115
12129 Vilafranca/Villafranca del Cid;Total;2024;2,139
12129 Vilafranca/Villafranca del Cid;Total;2023;2,148
12129 Vilafranca/Villafranca del Cid;Total;2022;2,154
12129 Vilafranca/Villafranca del Cid;Total;2021;2,201
12129 Vilafranca/Villafranca del Cid;Total;2020;2,197
12129 Vilafranca/Villafranca del Cid;Total;2019;2,200
12129 Vilafranca/Villafranca del Cid;Total;2018;2,227
12129 Vilafranca/Villafranca del Cid;Total;2017;2,267
12129 Vilafranca/Villafranca del Cid;Total;2016;2,289
12132 Vilanova d'Alcolea;Total;2025;584
12132 Vilanova d'Alcolea;Total;2024;585
12132 Vilanova d'Alcolea;Total;2023;575
12132 Vilanova d'Alcolea;Total;2022;571
12132 Vilanova d'Alcolea;Total;2021;578
12132 Vilanova d'Alcolea;Total;2020;569
12132 Vilanova d'Alcolea;Total;2019;584
12132 Vilanova d'Alcolea;Total;2018;575
12132 Vilanova d'Alcolea;Total;2017;586
12132 Vilanova d'Alcolea;Total;2016;595
12134 Vilar de Canes;Total;2025;156
12134 Vilar de Canes;Total;2024;156
12134 Vilar de Canes;Total;2023;159
12134 Vilar de Canes;Total;2022;170
12134 Vilar de Canes;Total;2021;174
12134 Vilar de Canes;Total;2020;169
12134 Vilar de Canes;Total;2019;169
12134 Vilar de Canes;Total;2018;172
12134 Vilar de Canes;Total;2017;177
12134 Vilar de Canes;Total;2016;179
12135 Vila-real;Total;2025;53,623
12135 Vila-real;Total;2024;52,505
12135 Vila-real;Total;2023;51,852
12135 Vila-real;Total;2022;51,369
12135 Vila-real;Total;2021;51,130
12135 Vila-real;Total;2020;51,293
12135 Vila-real;Total;2019;50,893
12135 Vila-real;Total;2018;50,577
12135 Vila-real;Total;2017;50,334
12135 Vila-real;Total;2016;50,252
12136 Vilavella, la;Total;2025;3,054
12136 Vilavella, la;Total;2024;3,073
12136 Vilavella, la;Total;2023;3,074
12136 Vilavella, la;Total;2022;3,084
12136 Vilavella, la;Total;2021;3,111
12136 Vilavella, la;Total;2020;3,125
12136 Vilavella, la;Total;2019;3,157
12136 Vilavella, la;Total;2018;3,226
12136 Vilavella, la;Total;2017;3,215
12136 Vilavella, la;Total;2016;3,243
12130 Villahermosa del Río;Total;2025;473
12130 Villahermosa del Río;Total;2024;490
12130 Villahermosa del Río;Total;2023;488
12130 Villahermosa del Río;Total;2022;463
12130 Villahermosa del Río;Total;2021;476
12130 Villahermosa del Río;Total;2020;484
12130 Villahermosa del Río;Total;2019;489
12130 Villahermosa del Río;Total;2018;462
12130 Villahermosa del Río;Total;2017;477
12130 Villahermosa del Río;Total;2016;487
12131 Villamalur;Total;2025;99
12131 Villamalur;Total;2024;97
12131 Villamalur;Total;2023;95
12131 Villamalur;Total;2022;85
12131 Villamalur;Total;2021;92
12131 Villamalur;Total;2020;102
12131 Villamalur;Total;2019;62
12131 Villamalur;Total;2018;63
12131 Villamalur;Total;2017;62
12131 Villamalur;Total;2016;68
12133 Villanueva de Viver;Total;2025;94
12133 Villanueva de Viver;Total;2024;98
12133 Villanueva de Viver;Total;2023;110
12133 Villanueva de Viver;Total;2022;89
12133 Villanueva de Viver;Total;2021;82
12133 Villanueva de Viver;Total;2020;60
12133 Villanueva de Viver;Total;2019;61
12133 Villanueva de Viver;Total;2018;66
12133 Villanueva de Viver;Total;2017;61
12133 Villanueva de Viver;Total;2016;60
12137 Villores;Total;2025;51
12137 Villores;Total;2024;53
12137 Villores;Total;2023;54
12137 Villores;Total;2022;53
12137 Villores;Total;2021;46
12137 Villores;Total;2020;42
12137 Villores;Total;2019;39
12137 Villores;Total;2018;42
12137 Villores;Total;2017;42
12137 Villores;Total;2016;38
12138 Vinaròs;Total;2025;30,529
12138 Vinaròs;Total;2024;30,278
12138 Vinaròs;Total;2023;29,686
12138 Vinaròs;Total;2022;29,120
12138 Vinaròs;Total;2021;28,862
12138 Vinaròs;Total;2020;28,833
12138 Vinaròs;Total;2019;28,682
12138 Vinaròs;Total;2018;28,438
12138 Vinaròs;Total;2017;28,292
12138 Vinaròs;Total;2016;28,290
12139 Vistabella del Maestrat;Total;2025;354
12139 Vistabella del Maestrat;Total;2024;361
12139 Vistabella del Maestrat;Total;2023;369
12139 Vistabella del Maestrat;Total;2022;334
12139 Vistabella del Maestrat;Total;2021;337
12139 Vistabella del Maestrat;Total;2020;333
12139 Vistabella del Maestrat;Total;2019;339
12139 Vistabella del Maestrat;Total;2018;342
12139 Vistabella del Maestrat;Total;2017;352
12139 Vistabella del Maestrat;Total;2016;364
12140 Viver;Total;2025;1,729
12140 Viver;Total;2024;1,680
12140 Viver;Total;2023;1,683
12140 Viver;Total;2022;1,691
12140 Viver;Total;2021;1,661
12140 Viver;Total;2020;1,572
12140 Viver;Total;2019;1,536
12140 Viver;Total;2018;1,538
12140 Viver;Total;2017;1,509
12140 Viver;Total;2016;1,536
12052 Xert;Total;2025;702
12052 Xert;Total;2024;686
12052 Xert;Total;2023;686
12052 Xert;Total;2022;679
12052 Xert;Total;2021;686
12052 Xert;Total;2020;688
12052 Xert;Total;2019;701
12052 Xert;Total;2018;725
12052 Xert;Total;2017;733
12052 Xert;Total;2016;754
12055 Xodos/Chodos;Total;2025;107
12055 Xodos/Chodos;Total;2024;116
12055 Xodos/Chodos;Total;2023;117
12055 Xodos/Chodos;Total;2022;120
12055 Xodos/Chodos;Total;2021;109
12055 Xodos/Chodos;Total;2020;106
12055 Xodos/Chodos;Total;2019;112
12055 Xodos/Chodos;Total;2018;113
12055 Xodos/Chodos;Total;2017;115
12055 Xodos/Chodos;Total;2016;117
12141 Zorita del Maestrazgo;Total;2025;118
12141 Zorita del Maestrazgo;Total;2024;111
12141 Zorita del Maestrazgo;Total;2023;117
12141 Zorita del Maestrazgo;Total;2022;107
12141 Zorita del Maestrazgo;Total;2021;116
12141 Zorita del Maestrazgo;Total;2020;111
12141 Zorita del Maestrazgo;Total;2019;114
12141 Zorita del Maestrazgo;Total;2018;112
12141 Zorita del Maestrazgo;Total;2017;118
12141 Zorita del Maestrazgo;Total;2016;124
12142 Zucaina;Total;2025;171
12142 Zucaina;Total;2024;174
12142 Zucaina;Total;2023;176
12142 Zucaina;Total;2022;174
12142 Zucaina;Total;2021;175
12142 Zucaina;Total;2020;162
12142 Zucaina;Total;2019;171
12142 Zucaina;Total;2018;172
12142 Zucaina;Total;2017;189
12142 Zucaina;Total;2016;190
