Municipalities;Sex;Period;Total
03021 Banyeres de Mariola;Total;2016;7,108
03022 Benasau;Total;2025;174
03022 Benasau;Total;2024;171
03022 Benasau;Total;2023;173
03022 Benasau;Total;2022;171
03022 Benasau;Total;2021;170
03022 Benasau;Total;2020;156
03022 Benasau;Total;2019;151
03022 Benasau;Total;2018;156
03022 Benasau;Total;2017;157
03022 Benasau;Total;2016;158
03023 Beneixama;Total;2025;1,696
03023 Beneixama;Total;2024;1,679
03023 Beneixama;Total;2023;1,697
03023 Beneixama;Total;2022;1,705
03023 Beneixama;Total;2021;1,707
03023 Beneixama;Total;2020;1,690
03023 Beneixama;Total;2019;1,685
03023 Beneixama;Total;2018;1,703
03023 Beneixama;Total;2017;1,710
03023 Beneixama;Total;2016;1,712
03024 Benejúzar;Total;2025;5,811
03024 Benejúzar;Total;2024;5,697
03024 Benejúzar;Total;2023;5,625
03024 Benejúzar;Total;2022;5,480
03024 Benejúzar;Total;2021;5,453
03024 Benejúzar;Total;2020;5,435
03024 Benejúzar;Total;2019;5,402
03024 Benejúzar;Total;2018;5,361
03024 Benejúzar;Total;2017;5,372
03024 Benejúzar;Total;2016;5,364
03025 Benferri;Total;2025;2,099
03025 Benferri;Total;2024;2,053
03025 Benferri;Total;2023;2,023
03025 Benferri;Total;2022;1,955
03025 Benferri;Total;2021;1,958
03025 Benferri;Total;2020;1,965
03025 Benferri;Total;2019;1,942
03025 Benferri;Total;2018;1,940
03025 Benferri;Total;2017;1,923
03025 Benferri;Total;2016;1,920
03026 Beniarbeig;Total;2025;2,499
03026 Beniarbeig;Total;2024;2,384
03026 Beniarbeig;Total;2023;2,353
03026 Beniarbeig;Total;2022;2,267
03026 Beniarbeig;Total;2021;2,227
03026 Beniarbeig;Total;2020;2,159
03026 Beniarbeig;Total;2019;2,092
03026 Beniarbeig;Total;2018;1,983
03026 Beniarbeig;Total;2017;1,919
03026 Beniarbeig;Total;2016;1,917
03027 Beniardà;Total;2025;226
03027 Beniardà;Total;2024;235
03027 Beniardà;Total;2023;252
03027 Beniardà;Total;2022;218
03027 Beniardà;Total;2021;192
03027 Beniardà;Total;2020;200
03027 Beniardà;Total;2019;232
03027 Beniardà;Total;2018;178
03027 Beniardà;Total;2017;183
03027 Beniardà;Total;2016;202
03028 Beniarrés;Total;2025;1,117
03028 Beniarrés;Total;2024;1,096
03028 Beniarrés;Total;2023;1,089
03028 Beniarrés;Total;2022;1,078
03028 Beniarrés;Total;2021;1,083
03028 Beniarrés;Total;2020;1,099
03028 Beniarrés;Total;2019;1,118
03028 Beniarrés;Total;2018;1,118
03028 Beniarrés;Total;2017;1,137
03028 Beniarrés;Total;2016;1,164
03030 Benidoleig;Total;2025;1,245
03030 Benidoleig;Total;2024;1,219
03030 Benidoleig;Total;2023;1,218
03030 Benidoleig;Total;2022;1,232
03030 Benidoleig;Total;2021;1,166
03030 Benidoleig;Total;2020;1,078
03030 Benidoleig;Total;2019;1,095
03030 Benidoleig;Total;2018;1,110
03030 Benidoleig;Total;2017;1,080
03030 Benidoleig;Total;2016;1,117
03031 Benidorm;Total;2025;77,327
03031 Benidorm;Total;2024;74,663
03031 Benidorm;Total;2023;72,342
03031 Benidorm;Total;2022;69,738
03031 Benidorm;Total;2021;69,118
03031 Benidorm;Total;2020;70,450
03031 Benidorm;Total;2019;68,721
03031 Benidorm;Total;2018;67,558
03031 Benidorm;Total;2017;66,831
03031 Benidorm;Total;2016;66,642
03032 Benifallim;Total;2025;130
03032 Benifallim;Total;2024;116
03032 Benifallim;Total;2023;111
03032 Benifallim;Total;2022;106
03032 Benifallim;Total;2021;103
03032 Benifallim;Total;2020;104
03032 Benifallim;Total;2019;105
03032 Benifallim;Total;2018;108
03032 Benifallim;Total;2017;111
03032 Benifallim;Total;2016;114
03033 Benifato;Total;2025;162
03033 Benifato;Total;2024;144
03033 Benifato;Total;2023;140
03033 Benifato;Total;2022;139
03033 Benifato;Total;2021;135
03033 Benifato;Total;2020;136
03033 Benifato;Total;2019;140
03033 Benifato;Total;2018;149
03033 Benifato;Total;2017;148
03033 Benifato;Total;2016;158
03029 Benigembla;Total;2025;590
03029 Benigembla;Total;2024;559
03029 Benigembla;Total;2023;537
03029 Benigembla;Total;2022;512
03029 Benigembla;Total;2021;483
03029 Benigembla;Total;2020;443
03029 Benigembla;Total;2019;490
03029 Benigembla;Total;2018;444
03029 Benigembla;Total;2017;433
03029 Benigembla;Total;2016;419
03034 Benijófar;Total;2025;3,679
03034 Benijófar;Total;2024;3,471
03034 Benijófar;Total;2023;3,473
03034 Benijófar;Total;2022;3,427
03034 Benijófar;Total;2021;3,323
03034 Benijófar;Total;2020;3,293
03034 Benijófar;Total;2019;3,322
03034 Benijófar;Total;2018;3,357
03034 Benijófar;Total;2017;3,290
03034 Benijófar;Total;2016;3,163
03035 Benilloba;Total;2025;744
03035 Benilloba;Total;2024;747
03035 Benilloba;Total;2023;737
03035 Benilloba;Total;2022;740
03035 Benilloba;Total;2021;737
03035 Benilloba;Total;2020;726
03035 Benilloba;Total;2019;724
03035 Benilloba;Total;2018;742
03035 Benilloba;Total;2017;755
03035 Benilloba;Total;2016;769
03036 Benillup;Total;2025;110
03036 Benillup;Total;2024;109
03036 Benillup;Total;2023;105
03036 Benillup;Total;2022;108
03036 Benillup;Total;2021;101
03036 Benillup;Total;2020;100
03036 Benillup;Total;2019;97
03036 Benillup;Total;2018;94
03036 Benillup;Total;2017;102
03036 Benillup;Total;2016;100
03037 Benimantell;Total;2025;548
03037 Benimantell;Total;2024;548
03037 Benimantell;Total;2023;534
03037 Benimantell;Total;2022;499
03037 Benimantell;Total;2021;501
03037 Benimantell;Total;2020;497
03037 Benimantell;Total;2019;483
03037 Benimantell;Total;2018;490
03037 Benimantell;Total;2017;495
03037 Benimantell;Total;2016;494
03038 Benimarfull;Total;2025;465
03038 Benimarfull;Total;2024;447
03038 Benimarfull;Total;2023;422
03038 Benimarfull;Total;2022;410
03038 Benimarfull;Total;2021;397
03038 Benimarfull;Total;2020;396
03038 Benimarfull;Total;2019;409
03038 Benimarfull;Total;2018;413
03038 Benimarfull;Total;2017;418
03038 Benimarfull;Total;2016;427
03039 Benimassot;Total;2025;85
03039 Benimassot;Total;2024;96
03039 Benimassot;Total;2023;105
03039 Benimassot;Total;2022;93
03039 Benimassot;Total;2021;97
03039 Benimassot;Total;2020;103
03039 Benimassot;Total;2019;106
03039 Benimassot;Total;2018;96
03039 Benimassot;Total;2017;99
03039 Benimassot;Total;2016;99
03040 Benimeli;Total;2025;474
03040 Benimeli;Total;2024;453
03040 Benimeli;Total;2023;455
03040 Benimeli;Total;2022;419
03040 Benimeli;Total;2021;415
03040 Benimeli;Total;2020;429
03040 Benimeli;Total;2019;418
03040 Benimeli;Total;2018;410
03040 Benimeli;Total;2017;391
03040 Benimeli;Total;2016;384
03041 Benissa;Total;2025;12,471
03041 Benissa;Total;2024;12,317
03041 Benissa;Total;2023;12,279
03041 Benissa;Total;2022;11,871
03041 Benissa;Total;2021;11,462
03041 Benissa;Total;2020;11,288
03041 Benissa;Total;2019;11,005
03041 Benissa;Total;2018;10,768
03041 Benissa;Total;2017;10,879
03041 Benissa;Total;2016;11,000
03043 Biar;Total;2025;3,677
03043 Biar;Total;2024;3,634
03043 Biar;Total;2023;3,607
03043 Biar;Total;2022;3,612
03043 Biar;Total;2021;3,628
03043 Biar;Total;2020;3,655
03043 Biar;Total;2019;3,671
03043 Biar;Total;2018;3,651
03043 Biar;Total;2017;3,650
03043 Biar;Total;2016;3,647
03044 Bigastro;Total;2025;7,537
03044 Bigastro;Total;2024;7,431
03044 Bigastro;Total;2023;7,361
03044 Bigastro;Total;2022;7,130
03044 Bigastro;Total;2021;6,994
03044 Bigastro;Total;2020;6,909
03044 Bigastro;Total;2019;6,733
03044 Bigastro;Total;2018;6,702
03044 Bigastro;Total;2017;6,656
03044 Bigastro;Total;2016;6,724
03045 Bolulla;Total;2025;490
03045 Bolulla;Total;2024;486
03045 Bolulla;Total;2023;440
03045 Bolulla;Total;2022;413
03045 Bolulla;Total;2021;426
03045 Bolulla;Total;2020;417
03045 Bolulla;Total;2019;420
03045 Bolulla;Total;2018;418
03045 Bolulla;Total;2017;414
03045 Bolulla;Total;2016;412
03046 Busot;Total;2025;3,782
03046 Busot;Total;2024;3,629
03046 Busot;Total;2023;3,534
03046 Busot;Total;2022;3,343
03046 Busot;Total;2021;3,207
03046 Busot;Total;2020;3,075
03046 Busot;Total;2019;2,978
03046 Busot;Total;2018;2,925
03046 Busot;Total;2017;2,904
03046 Busot;Total;2016;2,975
03049 Callosa de Segura;Total;2025;19,988
03049 Callosa de Segura;Total;2024;19,658
03049 Callosa de Segura;Total;2023;19,484
03049 Callosa de Segura;Total;2022;19,315
03049 Callosa de Segura;Total;2021;19,273
03049 Callosa de Segura;Total;2020;19,127
03049 Callosa de Segura;Total;2019;19,038
03049 Callosa de Segura;Total;2018;18,864
03049 Callosa de Segura;Total;2017;18,625
03049 Callosa de Segura;Total;2016;18,497
03048 Callosa d'en Sarrià;Total;2025;8,182
03048 Callosa d'en Sarrià;Total;2024;7,959
03048 Callosa d'en Sarrià;Total;2023;7,708
03048 Callosa d'en Sarrià;Total;2022;7,653
03048 Callosa d'en Sarrià;Total;2021;7,589
03048 Callosa d'en Sarrià;Total;2020;7,522
03048 Callosa d'en Sarrià;Total;2019;7,373
03048 Callosa d'en Sarrià;Total;2018;7,257
03048 Callosa d'en Sarrià;Total;2017;7,223
03048 Callosa d'en Sarrià;Total;2016;7,146
03047 Calp;Total;2025;27,616
03047 Calp;Total;2024;26,821
03047 Calp;Total;2023;25,854
03047 Calp;Total;2022;24,096
03047 Calp;Total;2021;23,530
03047 Calp;Total;2020;23,326
03047 Calp;Total;2019;22,725
03047 Calp;Total;2018;21,633
03047 Calp;Total;2017;20,804
03047 Calp;Total;2016;19,591
03051 Camp de Mirra, el/Campo de Mirra;Total;2025;447
03051 Camp de Mirra, el/Campo de Mirra;Total;2024;445
03051 Camp de Mirra, el/Campo de Mirra;Total;2023;442
03051 Camp de Mirra, el/Campo de Mirra;Total;2022;433
03051 Camp de Mirra, el/Campo de Mirra;Total;2021;429
03051 Camp de Mirra, el/Campo de Mirra;Total;2020;417
03051 Camp de Mirra, el/Campo de Mirra;Total;2019;415
03051 Camp de Mirra, el/Campo de Mirra;Total;2018;428
03051 Camp de Mirra, el/Campo de Mirra;Total;2017;436
03051 Camp de Mirra, el/Campo de Mirra;Total;2016;440
03050 Campello, el;Total;2025;31,419
03050 Campello, el;Total;2024;30,600
03050 Campello, el;Total;2023;29,993
03050 Campello, el;Total;2022;29,409
03050 Campello, el;Total;2021;29,013
03050 Campello, el;Total;2020;28,930
03050 Campello, el;Total;2019;28,349
03050 Campello, el;Total;2018;27,893
03050 Campello, el;Total;2017;27,604
03050 Campello, el;Total;2016;27,384
03052 Cañada;Total;2025;1,213
03052 Cañada;Total;2024;1,225
03052 Cañada;Total;2023;1,210
03052 Cañada;Total;2022;1,191
03052 Cañada;Total;2021;1,191
03052 Cañada;Total;2020;1,208
03052 Cañada;Total;2019;1,220
03052 Cañada;Total;2018;1,214
03052 Cañada;Total;2017;1,242
03052 Cañada;Total;2016;1,245
03053 Castalla;Total;2025;11,908
03053 Castalla;Total;2024;11,622
03053 Castalla;Total;2023;11,365
03053 Castalla;Total;2022;11,097
03053 Castalla;Total;2021;10,752
03053 Castalla;Total;2020;10,461
03053 Castalla;Total;2019;10,124
03053 Castalla;Total;2018;9,880
03053 Castalla;Total;2017;9,876
03053 Castalla;Total;2016;9,859
03054 Castell de Castells;Total;2025;443
03054 Castell de Castells;Total;2024;444
03054 Castell de Castells;Total;2023;445
03054 Castell de Castells;Total;2022;426
03054 Castell de Castells;Total;2021;425
03054 Castell de Castells;Total;2020;437
03054 Castell de Castells;Total;2019;449
03054 Castell de Castells;Total;2018;435
03054 Castell de Castells;Total;2017;436
03054 Castell de Castells;Total;2016;449
03075 Castell de Guadalest, el;Total;2025;284
03075 Castell de Guadalest, el;Total;2024;282
03075 Castell de Guadalest, el;Total;2023;274
03075 Castell de Guadalest, el;Total;2022;258
03075 Castell de Guadalest, el;Total;2021;243
03075 Castell de Guadalest, el;Total;2020;224
03075 Castell de Guadalest, el;Total;2019;217
03075 Castell de Guadalest, el;Total;2018;209
03075 Castell de Guadalest, el;Total;2017;205
03075 Castell de Guadalest, el;Total;2016;220
03055 Catral;Total;2025;9,600
03055 Catral;Total;2024;9,423
03055 Catral;Total;2023;9,275
03055 Catral;Total;2022;8,976
03055 Catral;Total;2021;8,880
03055 Catral;Total;2020;8,898
03055 Catral;Total;2019;8,639
03055 Catral;Total;2018;8,631
03055 Catral;Total;2017;8,620
03055 Catral;Total;2016;8,551
03056 Cocentaina;Total;2025;11,498
03056 Cocentaina;Total;2024;11,411
03056 Cocentaina;Total;2023;11,309
03056 Cocentaina;Total;2022;11,298
03056 Cocentaina;Total;2021;11,451
03056 Cocentaina;Total;2020;11,520
03056 Cocentaina;Total;2019;11,511
03056 Cocentaina;Total;2018;11,456
03056 Cocentaina;Total;2017;11,461
03056 Cocentaina;Total;2016;11,432
03057 Confrides;Total;2025;293
03057 Confrides;Total;2024;296
03057 Confrides;Total;2023;297
03057 Confrides;Total;2022;282
03057 Confrides;Total;2021;271
03057 Confrides;Total;2020;261
03057 Confrides;Total;2019;187
03057 Confrides;Total;2018;208
03057 Confrides;Total;2017;221
03057 Confrides;Total;2016;207
03058 Cox;Total;2025;7,722
03058 Cox;Total;2024;7,622
03058 Cox;Total;2023;7,513
03058 Cox;Total;2022;7,431
03058 Cox;Total;2021;7,427
03058 Cox;Total;2020;7,386
03058 Cox;Total;2019;7,297
03058 Cox;Total;2018;7,226
03058 Cox;Total;2017;7,192
03058 Cox;Total;2016;7,193
03059 Crevillent;Total;2025;30,921
03059 Crevillent;Total;2024;30,585
03059 Crevillent;Total;2023;30,191
03059 Crevillent;Total;2022;29,881
03059 Crevillent;Total;2021;29,717
03059 Crevillent;Total;2020;29,536
03059 Crevillent;Total;2019;28,952
03059 Crevillent;Total;2018;28,957
03059 Crevillent;Total;2017;28,836
03059 Crevillent;Total;2016;28,691
03061 Daya Nueva;Total;2025;1,885
03061 Daya Nueva;Total;2024;1,832
03061 Daya Nueva;Total;2023;1,767
03061 Daya Nueva;Total;2022;1,758
03061 Daya Nueva;Total;2021;1,757
03061 Daya Nueva;Total;2020;1,733
03061 Daya Nueva;Total;2019;1,737
03061 Daya Nueva;Total;2018;1,718
03061 Daya Nueva;Total;2017;1,684
03061 Daya Nueva;Total;2016;1,750
03062 Daya Vieja;Total;2025;698
03062 Daya Vieja;Total;2024;657
03062 Daya Vieja;Total;2023;667
03062 Daya Vieja;Total;2022;683
03062 Daya Vieja;Total;2021;707
03062 Daya Vieja;Total;2020;731
03062 Daya Vieja;Total;2019;690
03062 Daya Vieja;Total;2018;685
03062 Daya Vieja;Total;2017;713
03062 Daya Vieja;Total;2016;672
03063 Dénia;Total;2025;47,261
03063 Dénia;Total;2024;46,942
03063 Dénia;Total;2023;45,622
03063 Dénia;Total;2022;43,899
03063 Dénia;Total;2021;42,953
03063 Dénia;Total;2020;42,827
03063 Dénia;Total;2019;42,166
03063 Dénia;Total;2018;41,733
03063 Dénia;Total;2017;41,568
03063 Dénia;Total;2016;41,465
03064 Dolores;Total;2025;8,326
03064 Dolores;Total;2024;8,102
03064 Dolores;Total;2023;7,919
03064 Dolores;Total;2022;7,799
03064 Dolores;Total;2021;7,620
03064 Dolores;Total;2020;7,531
03064 Dolores;Total;2019;7,470
03064 Dolores;Total;2018;7,383
03064 Dolores;Total;2017;7,302
03064 Dolores;Total;2016;7,264
03066 Elda;Total;2025;55,222
03066 Elda;Total;2024;53,818
03066 Elda;Total;2023;53,034
03066 Elda;Total;2022;52,297
03066 Elda;Total;2021;52,551
03066 Elda;Total;2020;52,813
03066 Elda;Total;2019;52,618
03066 Elda;Total;2018;52,404
03066 Elda;Total;2017;52,620
03066 Elda;Total;2016;52,745
03065 Elx/Elche;Total;2025;245,557
03065 Elx/Elche;Total;2024;243,128
03065 Elx/Elche;Total;2023;238,293
03065 Elx/Elche;Total;2022;235,580
03065 Elx/Elche;Total;2021;234,205
03065 Elx/Elche;Total;2020;234,765
03065 Elx/Elche;Total;2019;232,517
03065 Elx/Elche;Total;2018;230,625
03065 Elx/Elche;Total;2017;228,675
03065 Elx/Elche;Total;2016;227,659
03067 Fageca;Total;2025;100
03067 Fageca;Total;2024;100
03067 Fageca;Total;2023;101
03067 Fageca;Total;2022;104
03067 Fageca;Total;2021;105
03067 Fageca;Total;2020;107
03067 Fageca;Total;2019;106
03067 Fageca;Total;2018;101
03067 Fageca;Total;2017;101
03067 Fageca;Total;2016;107
03068 Famorca;Total;2025;44
03068 Famorca;Total;2024;44
03068 Famorca;Total;2023;45
03068 Famorca;Total;2022;48
03068 Famorca;Total;2021;45
03068 Famorca;Total;2020;45
03068 Famorca;Total;2019;47
03068 Famorca;Total;2018;53
03068 Famorca;Total;2017;57
03068 Famorca;Total;2016;58
03069 Finestrat;Total;2025;9,919
03069 Finestrat;Total;2024;9,352
03069 Finestrat;Total;2023;8,836
03069 Finestrat;Total;2022;7,909
03069 Finestrat;Total;2021;7,402
03069 Finestrat;Total;2020;7,103
03069 Finestrat;Total;2019;6,715
03069 Finestrat;Total;2018;6,381
03069 Finestrat;Total;2017;6,292
03069 Finestrat;Total;2016;6,090
03077 Fondó de les Neus, el/Hondón de las Nieves;Total;2025;2,738
03077 Fondó de les Neus, el/Hondón de las Nieves;Total;2024;2,696
03077 Fondó de les Neus, el/Hondón de las Nieves;Total;2023;2,698
03077 Fondó de les Neus, el/Hondón de las Nieves;Total;2022;2,684
03077 Fondó de les Neus, el/Hondón de las Nieves;Total;2021;2,634
03077 Fondó de les Neus, el/Hondón de las Nieves;Total;2020;2,606
03077 Fondó de les Neus, el/Hondón de las Nieves;Total;2019;2,544
03077 Fondó de les Neus, el/Hondón de las Nieves;Total;2018;2,474
03077 Fondó de les Neus, el/Hondón de las Nieves;Total;2017;2,436
03077 Fondó de les Neus, el/Hondón de las Nieves;Total;2016;2,493
03070 Formentera del Segura;Total;2025;4,868
03070 Formentera del Segura;Total;2024;4,749
03070 Formentera del Segura;Total;2023;4,618
03070 Formentera del Segura;Total;2022;4,446
03070 Formentera del Segura;Total;2021;4,337
03070 Formentera del Segura;Total;2020;4,268
03070 Formentera del Segura;Total;2019;4,191
03070 Formentera del Segura;Total;2018;4,131
03070 Formentera del Segura;Total;2017;4,064
03070 Formentera del Segura;Total;2016;3,995
03072 Gaianes;Total;2025;577
03072 Gaianes;Total;2024;553
03072 Gaianes;Total;2023;555
03072 Gaianes;Total;2022;548
03072 Gaianes;Total;2021;505
03072 Gaianes;Total;2020;479
03072 Gaianes;Total;2019;452
03072 Gaianes;Total;2018;471
03072 Gaianes;Total;2017;448
03072 Gaianes;Total;2016;452
03071 Gata de Gorgos;Total;2025;6,773
03071 Gata de Gorgos;Total;2024;6,659
03071 Gata de Gorgos;Total;2023;6,515
03071 Gata de Gorgos;Total;2022;6,364
03071 Gata de Gorgos;Total;2021;6,223
03071 Gata de Gorgos;Total;2020;6,243
03071 Gata de Gorgos;Total;2019;6,049
